"","State","Year","sum_Population","mean_Model.based.Death.Rate","mean_Standard.Deviation","mean_Lower.Confidence.Limit","mean_Upper.Confidence.Limit","sum_Tot_Clms","sum_Tot_Opioid_Clms","mean_Opioid_Prscrbng_Rate","mean_Opioid_Prscrbng_Rate_1Y_Chg","mean_Opioid_Prscrbng_Rate_5Y_Chg","high_overdose_death_rate","perc_opioid_clms"
"1","Alabama",2018,4891628,14.129157761194,1.42930358208955,11.6764246268657,17.2692468656716,14638930,612210,4.18,-0.67,-1.86,FALSE,4.18206795168773
"2","Alabama",2019,4907965,14.7534446268657,1.49237597014925,12.192472238806,18.0320952238806,14458772,448614,3.1,-1.08,-3.23,FALSE,3.10271162723916
"3","Alabama",2020,4921532,19.1070482089552,1.93221507462687,15.791247761194,23.351947761194,13463064,365500,2.71,-0.39,-2.92,FALSE,2.71483519650505
"4","Alabama",2021,5039877,22.0535946268657,2.22984507462687,18.2270082089552,26.9523250746269,15050912,350474,2.33,-0.38,-3.04,FALSE,2.32858978911045
"5","Alaska",2018,736624,16.5735818518519,3.06598703703704,11.8507962962963,23.8005651851852,2792932,160780,5.76,-0.75,-1.9,FALSE,5.75667434796121
"6","Alaska",2019,733603,17.3060148148148,3.20139814814815,12.3746248148148,24.8521614814815,2867314,130778,4.56,-1.2,-3.33,FALSE,4.56099331988056
"7","Alaska",2020,731158,22.4127362962963,4.1455,16.0268825925926,32.1841014814815,2658552,114262,4.3,-0.26,-3.31,FALSE,4.29790352041262
"8","Alaska",2021,732673,25.8689737037037,4.7843437037037,18.4988766666667,37.1460244444444,2872766,116660,4.06,-0.24,-3.84,TRUE,4.0608946221168
"9","Arizona",2018,7164228,23.70197,1.37222533333333,21.2333893333333,26.60867,30602412,1450316,6.11,-1.83333333333333,-4.86,FALSE,4.73922120909947
"10","Arizona",2019,7291843,24.750716,1.432584,22.173552,27.7852766666667,29909262,1190248,4.81666666666667,-1.29333333333333,-6.58333333333333,FALSE,3.97952981922456
"11","Arizona",2020,7421401,32.053992,1.85348733333333,28.719646,35.9801346666667,28758812,1056116,4.09,-0.726666666666667,-6.2,TRUE,3.67232137405398
"12","Arizona",2021,7276316,36.99314,2.13821666666667,33.1465773333333,41.5224086666667,28666742,1024612,3.77,-0.32,-5.77,TRUE,3.57421851426297
"13","Arkansas",2018,3012161,15.0204244,1.95000213333333,11.7466644,19.3732454666667,4922387,256150,5.2,-1.14,-1.42,FALSE,5.20377613543998
"14","Arkansas",2019,3020985,15.6840478666667,2.036092,12.2657436,20.2290285333333,9269318,420381,4.555,-0.645,-2.885,FALSE,4.53518802569941
"15","Arkansas",2020,3030522,20.3123542666667,2.63645933333333,15.8860141333333,26.1973785333333,8556396,353258,4.16,-0.395,-2.85,FALSE,4.12858404402975
"16","Arkansas",2021,3025891,23.4442472,3.042682,18.3358309333333,30.2359609333333,8530361,304591,3.6,-0.56,-3.28,FALSE,3.57066951797233
"17","California",2018,39437463,21.957839137931,1.341775,19.5819367241379,24.8353103448276,175926220,6641690,3.71333333333333,-0.69,-2.39666666666667,FALSE,3.77527011039059
"18","California",2019,39437610,22.9293646551724,1.40084224137931,20.4488734482759,25.9335106896552,173508190,5527808,3.13666666666667,-0.576666666666667,-3.11666666666667,FALSE,3.18590609469213
"19","California",2020,39368078,29.6960148275862,1.81254827586207,26.4865301724138,33.5830898275862,163857036,4877888,2.91666666666667,-0.22,-2.60666666666667,TRUE,2.97691702417954
"20","California",2021,39237836,34.276525862069,2.09108379310345,30.5738279310345,38.7609224137931,164683328,4653118,2.76666666666667,-0.15,-2.29333333333333,TRUE,2.82549427225566
"21","Colorado",2018,5697155,19.2921886666667,2.84909783333333,14.715698,25.8383983333333,15311120,1028128,6.715,-1.435,-4.345,FALSE,6.71491047029871
"22","Colorado",2019,5758486,20.144711,2.97487933333333,15.3661621666667,26.9799081666667,14661987,816979,5.575,-1.14,-5.525,FALSE,5.57208924001911
"23","Colorado",2020,5807719,26.0889931666667,3.8518545,19.9016263333333,34.9390355,14500935,758613,5.23,-0.345,-4.98,TRUE,5.2314764530701
"24","Colorado",2021,5812069,30.1118295,4.4452225,22.9712006666667,40.3250901666667,16085122,777428,4.49666666666667,-0.146666666666667,-4.81,TRUE,4.83321170955371
"25","Connecticut",2018,3574561,25.78331375,0.81329,24.2446875,27.43318125,18662132,656434,3.52,-0.79,-3.5,TRUE,3.51746520708352
"26","Connecticut",2019,3566022,26.92511375,0.84891125,25.31908,28.64722625,18500740,588958,3.18,-0.34,-3.56,TRUE,3.18342941957997
"27","Connecticut",2020,3557006,34.86614625,1.09696375,32.79073625,37.09137625,17710820,509132,2.87,-0.31,-3.22,TRUE,2.87469467816849
"28","Connecticut",2021,3605597,40.241,1.26469125,37.84819875,42.80641375,17933868,506084,2.82,-0.05,-2.35,TRUE,2.82194560593398
"29","Delaware",2018,966985,28.8730366666667,0.877746666666667,27.2070566666667,30.6483533333333,5079362,209014,3.40666666666667,-0.473333333333333,-2.25,TRUE,4.11496561969791
"30","Delaware",2019,976668,30.1499466666667,0.916146666666667,28.4110566666667,32.0029133333333,5583664,180400,2.75333333333333,-0.653333333333333,-2.71333333333333,TRUE,3.23085343244149
"31","Delaware",2020,986809,39.0385466666667,1.18371666666667,36.7916733333333,41.4325633333333,5352504,144444,2.46,-0.293333333333333,-3.46333333333333,TRUE,2.69862479318091
"32","Delaware",2021,1003384,45.0566633333333,1.36471333333333,42.4661566666667,47.8166633333333,5550094,152866,2.29333333333333,-0.166666666666667,-2.6,TRUE,2.75429569300988
"33","District of Columbia",2018,704147,32.29366,0.59762,31.14347,33.48668,4264150,142732,3.34,-0.476666666666667,-2.00666666666667,TRUE,3.34725560779991
"34","District of Columbia",2019,708253,33.7299,0.62352,32.52985,34.97461,4258546,118394,2.8,-0.54,-2.36666666666667,TRUE,2.78015078385909
"35","District of Columbia",2020,712816,43.6921,0.8034,42.14569,45.29573,3691242,93178,2.53333333333333,-0.266666666666667,-2.34,TRUE,2.52429940925033
"36","District of Columbia",2021,670050,50.4271,0.92516,48.64625,52.2737,2944436,86726,2.66333333333333,0.13,-1.71333333333333,TRUE,2.94541976799632
"37","Florida",2018,21254926,22.3591204477612,1.39228656716418,19.8856486567164,25.3381401492537,57739008,1823786,2.60666666666667,-0.796666666666667,-3.11333333333333,FALSE,3.15867220995553
